Chapter,PDF Page,Mark Number On Page,PDF X,PDF Y,Raster X,Raster Y,Bounding Box,Glyph Method,Vector Method,Raster Method,Raster Strict,Raster Broad,Confidence,Review Status,Text Type,Text ID,Shloka Number,Charan Number,Associated Word,Following Conjunct,First Consonant,Dvitva Candidate,Exception Status,Glyph Font,Glyph Color,Source Details,Dvitva Rule,Mapping Confidence,Dvitva Result,Anusvara Present,Anusvara Position,Anusvara Following Sound,Anusvara Guide Output,Anusvara Source,Anunasika Present
1,2,4,196.47,90.72,1091.5,504.0,"[195.12, 88.38, 197.82, 93.06]",no,yes,yes,yes,yes,0.95,AUTO_VALIDATED,HEADING_OR_INVOCATION,CH01-P002-HEADING,,,,,,,NON_SHLOKA_TEXT_MAPPING_REVIEW_REQUIRED,,,"[{""bbox"": [195.27760314941406, 88.66546630859375, 197.24630737304688, 92.83828735351562]}, {""bbox_px"": [1084, 491, 1098, 517], ""area"": 175}, {""bbox_px"": [1084, 491, 1099, 517], ""area"": 202}]",,,,,,,,,
1,2,5,221.76,90.72,1232.0,504.0,"[220.5, 88.38, 223.02, 93.06]",no,yes,yes,yes,yes,0.95,AUTO_VALIDATED,HEADING_OR_INVOCATION,CH01-P002-HEADING,,,,,,,NON_SHLOKA_TEXT_MAPPING_REVIEW_REQUIRED,,,"[{""bbox"": [220.5782012939453, 88.61328125, 222.54690551757812, 92.78616333007812]}, {""bbox_px"": [1225, 491, 1239, 517], ""area"": 154}, {""bbox_px"": [1225, 491, 1239, 517], ""area"": 178}]",,,,,,,,,
1,2,6,181.35,116.37,1007.5,646.5,"[180.0, 113.94, 182.7, 118.8]",no,yes,yes,yes,yes,0.95,AUTO_VALIDATED,HEADING_OR_INVOCATION,CH01-P002-HEADING,,,,,,,NON_SHLOKA_TEXT_MAPPING_REVIEW_REQUIRED,,,"[{""bbox"": [180.14540100097656, 114.27386474609375, 182.11410522460938, 118.44677734375]}, {""bbox_px"": [1000, 633, 1014, 660], ""area"": 155}, {""bbox_px"": [1000, 633, 1015, 660], ""area"": 204}]",,,,,,,,,
1,2,7,220.23,116.37,1223.5,646.5,"[218.88, 113.94, 221.58, 118.8]",no,yes,yes,yes,yes,0.95,AUTO_VALIDATED,HEADING_OR_INVOCATION,CH01-P002-HEADING,,,,,,,NON_SHLOKA_TEXT_MAPPING_REVIEW_REQUIRED,,,"[{""bbox"": [219.02259826660156, 114.28558349609375, 220.99119567871094, 118.4583740234375]}, {""bbox_px"": [1216, 633, 1230, 660], ""area"": 154}, {""bbox_px"": [1216, 633, 1231, 660], ""area"": 204}]",,,,,,,,,
1,2,8,265.665,127.948,1475.9,710.8,"[261.801, 120.948, 269.529, 134.948]",yes,no,no,no,no,0.51,PDF_ONLY_REVIEW,HEADING_OR_INVOCATION,CH01-P002-HEADING,,,,,,,PDF_ONLY_REVIEW; NON_SHLOKA_TEXT_MAPPING_REVIEW_REQUIRED,NirmalaUI-Bold,#e3000f,"[{""bbox"": [261.8014221191406, 120.94832611083984, 265.6654357910156, 134.9483184814453], ""font"": ""NirmalaUI-Bold"", ""color"": ""#e3000f"", ""char"": "" ""}, {""bbox"": [265.6654357910156, 120.94832611083984, 269.5294494628906, 134.9483184814453], ""font"": ""NirmalaUI-Bold"", ""color"": ""#e3000f"", ""char"": "" ""}]",,,,,,,,,
1,2,9,86.85,153.18,482.5,851.0,"[85.5, 151.38, 88.2, 154.98]",no,yes,yes,yes,yes,0.95,AUTO_VALIDATED,SHLOKA,CSV_ROW_3,1.0,2,धर्मक्षेत्रे,क्ष,क,क् + क्ष,,,,"[{""bbox"": [85.71540069580078, 151.64495849609375, 87.68409729003906, 154.68997192382812]}, {""bbox_px"": [475, 841, 490, 861], ""area"": 149}, {""bbox_px"": [475, 841, 490, 861], ""area"": 152}]",SAME_FIRST_CONSONANT,0.9,क्क्ष,,,,,,
1,2,10,169.38,155.25,941.0,862.5,"[168.12, 152.82, 170.64, 157.68]",no,yes,yes,yes,yes,0.95,AUTO_VALIDATED,SHLOKA,CSV_ROW_3,1.0,2,धर्मक्षेत्रे,त्र,त,त् + त्र,,,,"[{""bbox"": [168.19679260253906, 153.18307495117188, 170.16549682617188, 157.35598754882812]}, {""bbox_px"": [934, 849, 948, 876], ""area"": 154}, {""bbox_px"": [934, 849, 948, 876], ""area"": 179}]",SAME_FIRST_CONSONANT,0.9,त्त्र,no,,,,,no
1,2,11,299.61,155.7,1664.5,865.0,"[298.26, 153.36, 300.96, 158.04]",no,yes,yes,yes,yes,0.95,AUTO_VALIDATED,SHLOKA,CSV_ROW_3,1.0,2,कुरुक्षेत्रे,क्ष,क,क् + क्ष,,,,"[{""bbox"": [298.4255065917969, 153.66696166992188, 300.3941955566406, 157.83987426757812]}, {""bbox_px"": [1657, 852, 1672, 878], ""area"": 198}, {""bbox_px"": [1657, 852, 1672, 878], ""area"": 202}]",SAME_FIRST_CONSONANT,0.9,क्क्ष,no,,,,,no
1,2,12,98.64,155.79,548.0,865.5,"[97.38, 153.36, 99.9, 158.22]",no,yes,yes,yes,yes,0.95,AUTO_VALIDATED,SHLOKA,CSV_ROW_3,1.0,2,कुरुक्षेत्रे,त्र,त,त् + त्र,,,,"[{""bbox"": [97.456298828125, 153.68505859375, 99.42489624023438, 157.85797119140625]}, {""bbox_px"": [541, 852, 555, 878], ""area"": 152}, {""bbox_px"": [541, 852, 555, 879], ""area"": 179}]",SAME_FIRST_CONSONANT,0.9,त्त्र,,,,,,
1,2,13,154.35,155.79,857.5,865.5,"[153.0, 153.36, 155.7, 158.22]",no,yes,yes,yes,yes,0.95,AUTO_VALIDATED,SHLOKA,CSV_ROW_3,1.0,2,युयुत्सवः।,त्स,त,त् + त्स,,,,"[{""bbox"": [153.24749755859375, 153.68505859375, 155.21609497070312, 157.85797119140625]}, {""bbox_px"": [851, 852, 865, 878], ""area"": 153}, {""bbox_px"": [850, 852, 865, 879], ""area"": 202}]",SAME_FIRST_CONSONANT,0.9,त्त्स,no,,,,,no
1,2,14,162.27,176.58,901.5,981.0,"[160.92, 174.24, 163.62, 178.92]",no,yes,yes,yes,yes,0.95,AUTO_VALIDATED,SHLOKA,CSV_ROW_3,1.0,3,पाण्डवाश्चैव,ण्ड,ण,ण् + ण्ड,,,,"[{""bbox"": [161.06570434570312, 174.49368286132812, 163.03439331054688, 178.66656494140625]}, {""bbox_px"": [894, 968, 908, 994], ""area"": 152}, {""bbox_px"": [894, 968, 909, 994], ""area"": 204}]",SAME_FIRST_CONSONANT,0.9,ण्ण्ड,no,,,,,no
1,2,15,190.8,176.58,1060.0,981.0,"[189.54, 174.24, 192.06, 178.92]",no,yes,yes,yes,yes,0.95,AUTO_VALIDATED,SHLOKA,CSV_ROW_3,1.0,3,पाण्डवाश्चैव,श्च,श,श् + श्च,,,,"[{""bbox"": [189.63270568847656, 174.49368286132812, 191.6013946533203, 178.66656494140625]}, {""bbox_px"": [1053, 968, 1067, 994], ""area"": 156}, {""bbox_px"": [1053, 968, 1067, 994], ""area"": 156}]",SAME_FIRST_CONSONANT,0.9,श्श्च,no,,,,,no
1,2,16,305.91,176.58,1699.5,981.0,"[304.56, 174.24, 307.26, 178.92]",no,yes,yes,yes,yes,0.95,AUTO_VALIDATED,SHLOKA,CSV_ROW_3,1.0,3,सञ्जय॥,ञ्ज,ञ,ञ् + ञ्ज,,,,"[{""bbox"": [304.75531005859375, 174.49368286132812, 306.7239990234375, 178.66656494140625]}, {""bbox_px"": [1692, 968, 1707, 994], ""area"": 200}, {""bbox_px"": [1692, 968, 1707, 994], ""area"": 200}]",SAME_FIRST_CONSONANT,0.9,ञ्ञ्ज,no,,,,,no
1,2,17,192.87,200.7,1071.5,1115.0,"[191.52, 198.36, 194.22, 203.04]",no,yes,yes,yes,yes,0.95,AUTO_VALIDATED,SHLOKA,CSV_ROW_4,2.0,1,सञ्जय,ञ्ज,ञ,ञ् + ञ्ज,,,,"[{""bbox"": [191.66909790039062, 198.59808349609375, 193.63780212402344, 202.77096557617188]}, {""bbox_px"": [1064, 1102, 1078, 1128], ""area"": 152}, {""bbox_px"": [1064, 1102, 1079, 1128], ""area"": 203}]",SAME_FIRST_CONSONANT,0.9,ञ्ञ्ज,no,,,,,no
1,2,18,129.15,219.24,717.5,1218.0,"[127.8, 216.9, 130.5, 221.58]",no,yes,yes,yes,yes,0.95,AUTO_VALIDATED,SHLOKA,CSV_ROW_4,2.0,2,पाण्डवानीकं(व्ँ),ण्ड,ण,ण् + ण्ड,,,,"[{""bbox"": [128.01229858398438, 217.18316650390625, 129.9810028076172, 221.3560791015625]}, {""bbox_px"": [710, 1205, 725, 1231], ""area"": 198}, {""bbox_px"": [710, 1205, 725, 1231], ""area"": 202}]",SAME_FIRST_CONSONANT,0.9,ण्ण्ड,no,,,,,no
1,2,19,298.53,219.24,1658.5,1218.0,"[297.18, 216.9, 299.88, 221.58]",no,yes,yes,yes,yes,0.95,AUTO_VALIDATED,SHLOKA,CSV_ROW_4,2.0,2,दुर्योधनस्तदा।,स्त,स,स् + स्त,,,,"[{""bbox"": [297.35888671875, 217.18316650390625, 299.3275146484375, 221.3560791015625]}, {""bbox_px"": [1651, 1205, 1666, 1231], ""area"": 200}, {""bbox_px"": [1651, 1205, 1666, 1231], ""area"": 200}]",SAME_FIRST_CONSONANT,0.9,स्स्त,yes,FINAL,,न्,EXPLICIT_CANONICAL_NOTE,no
1,2,20,133.2,240.03,740.0,1333.5,"[131.94, 237.6, 134.46, 242.46]",no,yes,yes,yes,yes,0.95,AUTO_VALIDATED,SHLOKA,CSV_ROW_4,2.0,3,आचार्यमुपसङ्गम्य,ङ्ग,ङ,ङ् + ङ्ग,,,,"[{""bbox"": [132.03689575195312, 237.98858642578125, 134.00559997558594, 242.16146850585938]}, {""bbox_px"": [733, 1321, 747, 1347], ""area"": 152}, {""bbox_px"": [733, 1320, 747, 1347], ""area"": 158}]",SAME_FIRST_CONSONANT,0.9,ङ्ङ्ग,no,,,,,no
1,2,21,141.75,240.03,787.5,1333.5,"[140.4, 237.6, 143.1, 242.46]",no,yes,yes,yes,yes,0.95,AUTO_VALIDATED,SHLOKA,CSV_ROW_4,2.0,3,आचार्यमुपसङ्गम्य,म्य,म,म् + म्य,,,,"[{""bbox"": [140.53550720214844, 237.98858642578125, 142.5041961669922, 242.16146850585938]}, {""bbox_px"": [780, 1321, 794, 1347], ""area"": 154}, {""bbox_px"": [780, 1320, 795, 1347], ""area"": 201}]",SAME_FIRST_CONSONANT,0.9,म्म्य,no,,,,,no
1,2,22,295.92,240.03,1644.0,1333.5,"[294.66, 237.6, 297.18, 242.46]",no,yes,yes,yes,yes,0.95,AUTO_VALIDATED,SHLOKA,CSV_ROW_4,2.0,3,वचनमब्रवीत्॥,ब्र,ब,ब् + ब्र,,,,"[{""bbox"": [294.7449951171875, 237.98858642578125, 296.7137145996094, 242.16146850585938]}, {""bbox_px"": [1637, 1321, 1651, 1347], ""area"": 153}, {""bbox_px"": [1637, 1320, 1651, 1347], ""area"": 158}]",SAME_FIRST_CONSONANT,0.9,ब्ब्र,no,,,,,no
1,2,23,76.41,266.22,424.5,1479.0,"[75.06, 263.88, 77.76, 268.56]",no,yes,yes,yes,yes,0.95,AUTO_VALIDATED,SHLOKA,CSV_ROW_5,3.0,1,पश्यैतां(म्),श्य,श,श् + श्य,,,,"[{""bbox"": [75.2510986328125, 264.1410827636719, 77.2197036743164, 268.31396484375]}, {""bbox_px"": [417, 1466, 432, 1492], ""area"": 200}, {""bbox_px"": [417, 1466, 432, 1492], ""area"": 200}]",SAME_FIRST_CONSONANT,0.9,श्श्य,,,,,,
1,2,24,138.69,266.22,770.5,1479.0,"[137.34, 263.88, 140.04, 268.56]",no,yes,yes,yes,yes,0.95,AUTO_VALIDATED,SHLOKA,CSV_ROW_5,3.0,1,पाण्डुपुत्राणाम्,ण्ड,ण,ण् + ण्ड,,,,"[{""bbox"": [137.49530029296875, 264.1410827636719, 139.46400451660156, 268.31396484375]}, {""bbox_px"": [763, 1466, 777, 1492], ""area"": 175}, {""bbox_px"": [763, 1466, 778, 1492], ""area"": 201}]",SAME_FIRST_CONSONANT,0.9,ण्ण्ड,,,,,,
1,2,25,162.0,266.22,900.0,1479.0,"[160.74, 263.88, 163.26, 268.56]",no,yes,yes,yes,yes,0.95,AUTO_VALIDATED,SHLOKA,CSV_ROW_5,3.0,1,पाण्डुपुत्राणाम्,त्र,त,त् + त्र,,,,"[{""bbox"": [160.84829711914062, 264.1410827636719, 162.81689453125, 268.31396484375]}, {""bbox_px"": [893, 1466, 907, 1492], ""area"": 156}, {""bbox_px"": [893, 1466, 907, 1492], ""area"": 156}]",SAME_FIRST_CONSONANT,0.9,त्त्र,,,,,,
1,2,26,249.75,287.01,1387.5,1594.5,"[248.4, 284.58, 251.1, 289.44]",no,yes,yes,yes,yes,0.95,AUTO_VALIDATED,SHLOKA,CSV_ROW_5,3.0,2,द्रुपदपुत्रेण,त्र,त,त् + त्र,,,,"[{""bbox"": [248.56700134277344, 284.9311828613281, 250.5355987548828, 289.10406494140625]}, {""bbox_px"": [1380, 1581, 1395, 1608], ""area"": 202}, {""bbox_px"": [1380, 1581, 1395, 1608], ""area"": 207}]",SAME_FIRST_CONSONANT,0.9,त्त्र,no,,,,,no
1,2,27,162.27,287.46,901.5,1597.0,"[160.92, 285.12, 163.62, 289.8]",no,yes,yes,yes,yes,0.95,AUTO_VALIDATED,SHLOKA,CSV_ROW_5,3.0,2,शिष्येण,ष्य,ष,ष् + ष्य,,,,"[{""bbox"": [161.05320739746094, 285.441162109375, 163.0218963623047, 289.424072265625]}, {""bbox_px"": [894, 1584, 908, 1609], ""area"": 147}, {""bbox_px"": [894, 1584, 909, 1610], ""area"": 194}]",SAME_FIRST_CONSONANT,0.9,ष्ष्य,no,,,,,no
1,2,28,383.58,297.54,2131.0,1653.0,"[382.5, 294.3, 384.66, 300.78]",no,no,yes,yes,yes,0.79,DECORATION_REVIEW,DECORATION_CANDIDATE,CH01-P002-DECORATION,,,,,,,DECORATION_REVIEW,,,"[{""bbox_px"": [2125, 1635, 2137, 1671], ""area"": 184}, {""bbox_px"": [2125, 1635, 2137, 1671], ""area"": 190}]",,,,,,,,,
1,2,29,78.93,312.84,438.5,1738.0,"[77.58, 310.5, 80.28, 315.18]",no,yes,yes,yes,yes,0.95,AUTO_VALIDATED,SHLOKA,CSV_ROW_6,4.0,1,अत्र,त्र,त,त् + त्र,,,,"[{""bbox"": [77.71179962158203, 310.74627685546875, 79.68049621582031, 314.9191589355469]}, {""bbox_px"": [431, 1725, 445, 1751], ""area"": 153}, {""bbox_px"": [431, 1725, 446, 1751], ""area"": 202}]",SAME_FIRST_CONSONANT,0.9,त्त्र,no,,,,,no
1,2,30,163.17,312.84,906.5,1738.0,"[161.82, 310.5, 164.52, 315.18]",no,yes,yes,yes,yes,0.95,AUTO_VALIDATED,SHLOKA,CSV_ROW_6,4.0,1,महेष्वासा,ष्व,ष,ष् + ष्व,,,,"[{""bbox"": [162.07090759277344, 310.74627685546875, 164.0395050048828, 314.9191589355469]}, {""bbox_px"": [900, 1725, 914, 1751], ""area"": 155}, {""bbox_px"": [899, 1725, 914, 1751], ""area"": 201}]",SAME_FIRST_CONSONANT,0.9,ष्ष्व,no,,,,,no
1,2,31,173.43,333.54,963.5,1853.0,"[172.08, 331.2, 174.78, 335.88]",no,yes,yes,yes,yes,0.95,AUTO_VALIDATED,SHLOKA,CSV_ROW_6,4.0,2,विराटश्च,श्च,श,श् + श्च,,,,"[{""bbox"": [172.2364959716797, 331.48828125, 174.20509338378906, 335.6611633300781]}, {""bbox_px"": [956, 1840, 970, 1866], ""area"": 175}, {""bbox_px"": [956, 1840, 971, 1866], ""area"": 202}]",SAME_FIRST_CONSONANT,0.9,श्श्च,no,,,,,no
