"chapter","audio_file","shloka","charan","start_sec","end_sec","confidence","verified","status"
"1","CH01.mp3","14","3","258","262.2","0.99","True","AUTO_VERIFIED"
"1","CH01.mp3","14","4","262.2","267","0.99","True","AUTO_VERIFIED"
"1","CH01.mp3","15","","267","285.2","0.99","True","AUTO_VERIFIED"
"1","CH01.mp3","15","1","267","271.5","0.99","True","AUTO_VERIFIED"
"1","CH01.mp3","15","2","271.5","275.8","0.99","True","AUTO_VERIFIED"
"1","CH01.mp3","15","3","275.8","280","0.99","True","AUTO_VERIFIED"
"1","CH01.mp3","15","4","280","285.2","0.99","True","AUTO_VERIFIED"
"1","CH01.mp3","16","","285.2","303.2","0.99","True","AUTO_VERIFIED"
"1","CH01.mp3","16","1","285.2","289.8","0.99","True","AUTO_VERIFIED"
"1","CH01.mp3","16","2","289.8","294.2","0.99","True","AUTO_VERIFIED"
"1","CH01.mp3","16","3","294.2","298.2","0.99","True","AUTO_VERIFIED"
"1","CH01.mp3","16","4","298.2","303.2","0.99","True","AUTO_VERIFIED"
"1","CH01.mp3","17","","303.2","321","0.99","True","AUTO_VERIFIED"
"1","CH01.mp3","17","1","303.2","307.8","0.99","True","AUTO_VERIFIED"
"1","CH01.mp3","17","2","307.8","312.2","0.99","True","AUTO_VERIFIED"
"1","CH01.mp3","17","3","312.2","316.2","0.99","True","AUTO_VERIFIED"
"1","CH01.mp3","17","4","316.2","321","0.99","True","AUTO_VERIFIED"
"1","CH01.mp3","18","","321","339.2","0.99","True","AUTO_VERIFIED"
"1","CH01.mp3","18","1","321","325.2","0.99","True","AUTO_VERIFIED"
"1","CH01.mp3","18","2","325.2","329.8","0.99","True","AUTO_VERIFIED"
"1","CH01.mp3","18","3","329.8","334","0.99","True","AUTO_VERIFIED"
"1","CH01.mp3","18","4","334","339.2","0.99","True","AUTO_VERIFIED"
"1","CH01.mp3","19","","339.2","357.8","0.99","True","AUTO_VERIFIED"
"1","CH01.mp3","19","1","339.2","344","0.99","True","AUTO_VERIFIED"
"1","CH01.mp3","19","2","344","348.5","0.99","True","AUTO_VERIFIED"
"1","CH01.mp3","19","3","348.5","352.5","0.99","True","AUTO_VERIFIED"
"1","CH01.mp3","19","4","352.5","357.8","0.99","True","AUTO_VERIFIED"
"1","CH01.mp3","20","","357.8","375.8","0.99","True","AUTO_VERIFIED"
"1","CH01.mp3","20","1","357.8","362.5","0.99","True","AUTO_VERIFIED"
"1","CH01.mp3","20","2","362.5","366.8","0.99","True","AUTO_VERIFIED"
"1","CH01.mp3","20","3","366.8","371","0.99","True","AUTO_VERIFIED"
